angle/°	t/ms	timer1/ms	timer2/ms	Date	DateOA	Counter1	Counter2	Counter3	Counter4	dt/ms	dtimer1/ms	dtimer2/ms	dCounter1	dCounter2	dCounter3	dCounter4	Ticks1	Ticks2	Ticks3	Ticks4	dTicks1	dTicks2	dTicks3	dTicks4
240	119996.2473	0	119994	2026-03-09_14:40:30	46090.6114583333	200189	264661	12	17	1	20	20	447.424854025791	514.452135771638	3.46410161513775	4.12310562561766	1668.32508292081	2205.61861426405	0.100005000250013	0.141673750354184	3.73908091030786	4.30304772546979	0.0288689617193003	0.0343609397072016
255	119996.23055	0	119995	2026-03-09_14:42:42	46090.6129861111	199434	265209	21	25	1	20	20	446.580339916571	514.984465785134	4.58257569495584	5	1662.01925080212	2210.16709029543	0.175007291970499	0.208342014250594	3.73195320302214	4.30749669823431	0.0381897331693122	0.0416684173195174
270	119996.16435	0	119995	2026-03-09_14:44:53	46090.6145023148	199204	263369	18	23	1	20	20	446.322753173082	513.194894752471	4.24264068711928	4.79583152331272	1660.10250427101	2194.83311804659	0.150006250260428	0.191674653110546	3.72978876907115	4.29241924098411	0.0353568210997768	0.0399669407512137
270	119996.0488	0	119994	2026-03-09_14:46:57	46090.6159375	198701	263772	15	21	1	20	20	445.758903444452	513.587383022597	3.87298334620742	4.58257569495584	1655.92446288981	2198.20991049552	0.125006250312516	0.175008750437522	3.72508217296328	4.2957619877864	0.0322764817670847	0.0381900514331874
255	119995.84575	0	119994	2026-03-09_14:49:09	46090.6174652778	198631	263242	20	25	1	20	20	445.680378746922	513.071145164099	4.47213595499958	5	1655.34110038835	2193.79302298448	0.166675000416688	0.208343750520859	3.72442236262955	4.29141269336765	0.03726967346187	0.0416687645739323
240	119995.65975	0	119994	2026-03-09_14:51:21	46090.6189930556	200203	262009	16	21	1	20	20	447.440498837555	511.868147084774	4	4.58257569495584	1668.4417554211	2183.51750920879	0.13334000033335	0.175008750437522	3.73921237542063	4.28127782289953	0.0333350074918553	0.0381900514331874
225	119995.769	0	119995	2026-03-09_14:53:33	46090.6205208333	201374	262486	16	22	1	20	20	448.747144837714	512.333875514786	4	4.69041575982343	1678.18659110796	2187.47447810325	0.13333888912038	0.183340972540523	3.7501611094304	4.28516540382276	0.0333347296884276	0.0390884386276532
210	119995.85785	0	119994	2026-03-09_14:55:45	46090.6220486111	202627	261613	16	19	1	20	20	450.141088993218	511.48118244956	4	4.35889894354067	1688.64276547161	2180.21734420054	0.13334000033335	0.158341250395853	3.76190687503513	4.27801787953364	0.0333350074918553	0.0363259837485254
195	119995.8134	0	119994	2026-03-09_14:57:57	46090.6235763889	203816	262472	13	22	1	20	20	451.45985425063	512.320212367226	3.60555127546399	4.69041575982343	1698.55159424638	2187.37603546844	0.108338750270847	0.183342500458356	3.7729899868433	4.28508626692463	0.0300477684428501	0.0390887643811285
180	119995.5625	0	119994	2026-03-09_15:00:09	46090.6251041667	205359	262249	14	20	1	20	20	453.165532669906	512.102528796724	3.74165738677394	4.47213595499958	1711.41057052853	2185.51760921379	0.116672500291681	0.166675000416688	3.78732558328227	4.28325237300993	0.0311820433887621	0.03726967346187
165	119995.7372	0	119995	2026-03-09_15:02:21	46090.6266319444	206939	262325	20	23	1	20	20	454.905484688853	512.17672731197	4.47213595499958	4.79583152331272	1724.56352348015	2186.13275553148	0.166673611400475	0.191674653110546	3.80191831036073	4.28384150413553	0.0372693628681439	0.0399669407512137
