angle/°	t/ms	timer1/ms	timer2/ms	Date	DateOA	Counter1	Counter2	Counter3	Counter4	dt/ms	dtimer1/ms	dtimer2/ms	dCounter1	dCounter2	dCounter3	dCounter4	Ticks1	Ticks2	Ticks3	Ticks4	dTicks1	dTicks2	dTicks3	dTicks4
135	719995.7655	0	719985	2026-03-09_19:46:57	46090.8242708333	1254928	1493500	4004	5307	1	20	20	1120.23568948682	1222.08837650965	63.2771680782255	72.8491592264454	1742.99186788614	2074.34877115495	5.56122697000632	7.37098689556032	1.55666846919544	1.69835811232444	0.0878869224078608	0.101181702935184
120	719996.68295	0	719986	2026-03-09_19:59:09	46090.8327430556	1253692	1495274	3917	5205	1	20	20	1119.68388396011	1222.81396786265	62.5859409132754	72.145685941711	1741.27274697008	2076.80982685774	5.44038356301373	7.2293072365296	1.55589878132404	1.69936527840751	0.0869267395421883	0.100204491230504
105	719996.03625	0	719985	2026-03-09_20:11:22	46090.8412268519	1250559	1500193	3832	5119	1	20	20	1118.28395320688	1224.82366077734	61.9031501621686	71.5471872263334	1736.92368591012	2083.64479815552	5.32233310416189	7.10987034452107	1.55395373882285	1.70216377627063	0.0859785157791146	0.0993733599064643
90	719996.11735	0	719985	2026-03-09_20:23:34	46090.8496990741	1242130	1503886	3732	4936	1	20	20	1114.50886044033	1226.33029808449	61.0900973972051	70.2566722810012	1725.21649756592	2088.77407168205	5.1834413216942	6.85569838260519	1.54870288431806	1.70426000799481	0.0848492473582562	0.0975809302661919
90	719996.95345	0	719987	2026-03-09_20:35:39	46090.8580902778	1244088	1502969	3864	5008	1	20	20	1115.38692837956	1225.9563613767	62.1610810716802	70.7672240518165	1727.93119875776	2087.4946353198	5.3667635665644	6.95568114424288	1.54991989303925	1.70373499911696	0.0863365223830618	0.0982897757680184
105	719996.1463	0	719986	2026-03-09_20:47:51	46090.8665625	1250756	1501715	3858	5087	1	20	20	1118.37203112381	1225.44481719904	62.1128006130781	71.3232080041272	1737.19488990064	2085.75583414122	5.3584375251741	7.06541516085035	1.55407408826494	1.70302564149271	0.0862695845015146	0.0990621317452459
120	719995.7188	0	719985	2026-03-09_21:00:03	46090.8750347222	1254569	1505138	3871	5102	1	20	20	1120.0754438876	1226.84065795033	62.2173609212091	71.4282857137143	1742.49324638708	2090.51299679854	5.37650089932429	7.08625874150156	1.55644557811771	1.70497008970475	0.0864149306485433	0.0992082144993501
135	719996.4355	0	719986	2026-03-09_21:12:16	46090.8835185185	1251956	1521816	4018	5228	1	20	20	1118.90839660805	1233.61906600052	63.3876959669619	72.3049099301009	1738.86158897534	2113.67443255841	5.580664068468	7.2612523021281	1.55482013337637	1.71439884183641	0.0880403149942053	0.100425641294197
150	719995.81675	0	719985	2026-03-09_21:24:28	46090.8919907407	1246375	1522226	4238	5523	1	20	20	1116.41166242565	1233.78523252631	65.0999231950392	74.3168890629849	1731.11245373168	2114.24682458662	5.88623374098071	7.67099314569054	1.55134952451364	1.71463242381828	0.0904185915536726	0.103220271842994
165	719995.95735	0	719985	2026-03-09_21:36:40	46090.900462963	1237006	1524605	4285	5616	1	20	20	1112.20771441309	1234.74896234012	65.4599113962126	74.9399759807808	1718.09968263228	2117.55106009153	5.95151287874053	7.80016250338549	1.54550219782093	1.71597332441083	0.090918588049159	0.104085693948233
180	719996.11545	0	719986	2026-03-09_21:48:52	46090.9089351852	1233004	1525850	4290	5520	1	20	20	1110.40713254193	1235.25301052052	65.4980915752513	74.2967024840268	1712.53885492218	2119.27731928121	5.95844919206762	7.66681574363946	1.54299561896576	1.71667225409889	0.0909714910911929	0.103192090838531
195	719996.71645	0	719986	2026-03-09_22:01:04	46090.9174074074	1225529	1527296	4109	5387	1	20	20	1107.03613310497	1235.83817710896	64.1014820421494	73.39618518697	1702.15670860267	2121.28569166623	5.7070554149664	7.48208992952641	1.5383069252243	1.71748643664275	0.0890317084827851	0.101941340155711
210	719996.2972	0	719985	2026-03-09_22:13:16	46090.9258796296	1219216	1526474	4116	5379	1	20	20	1104.18114455917	1235.50556453623	64.1560597293818	73.3416661932356	1693.39083453128	2120.14694750585	5.71678576637013	7.47098897893706	1.53433811121833	1.71702603732473	0.0891076364243597	0.101865758870468
225	719995.85885	0	719985	2026-03-09_22:25:29	46090.9343634259	1211965	1533177	4019	5176	1	20	20	1100.89281948789	1238.21524784667	63.3955834423818	71.9444229944198	1683.31979138454	2129.45686368466	5.58206073737647	7.18903866052765	1.52976447439995	1.72079622559079	0.0880513923815042	0.0999250910325325
240	719995.95185	0	719985	2026-03-09_22:37:41	46090.9428356482	1201869	1531468	3854	4957	1	20	20	1096.29786098487	1237.52494924345	62.080592780675	70.4059656563277	1669.2972770266	2127.08320312229	5.35288929630478	6.88486565692341	1.52337354273383	1.71983575792709	0.0862249700910617	0.0977882876834742
255	719996.4599	0	719986	2026-03-09_22:49:54	46090.9513194444	1195185	1532607	3769	4908	1	20	20	1093.24516920954	1237.98505645262	61.3921819126833	70.057119552548	1660.01144466698	2128.66222398769	5.23482401046687	6.8167992155403	1.51912561328241	1.72047354926164	0.0852687013161611	0.0973036311984324
270	719996.2616	0	719986	2026-03-09_23:02:06	46090.9597916667	1191306	1533783	3671	4807	1	20	20	1091.46965143333	1238.45993072041	60.5887778388044	69.3325320466518	1654.623839908	2130.2955890809	5.09871025269936	6.67651871008603	1.51665616381152	1.72113427956015	0.0841528358229292	0.0962972344356023
270	719995.84215	0	719985	2026-03-09_23:14:10	46090.9681712963	1189940	1532820	3602	4650	1	20	20	1090.843710162	1238.0710803504	60.0166643524946	68.1909084849293	1652.72887629603	2128.96102002125	5.0028820044862	6.4584678847476	1.51578769363828	1.72059563366472	0.083358330741195	0.0947117381933567
255	719996.2527	0	719985	2026-03-09_23:26:22	46090.9766435185	1195453	1529290	3683	4780	1	20	20	1093.36773319867	1236.64465389214	60.687725282795	69.1375440697744	1660.38598026348	2124.05814010014	5.11538434828503	6.6390272019556	1.51929819190576	1.71861093533767	0.0842903831581944	0.096026544405772
240	719997.14005	0	719986	2026-03-09_23:38:34	46090.9851157407	1204264	1529258	3740	4920	1	20	20	1097.38962998563	1236.63171558876	61.1555394056826	70.1427116670007	1672.62141208301	2124.01074465337	5.19454544949485	6.83346620628734	1.52488991097943	1.71859054351016	0.0849400233483067	0.0974225121228892
225	719996.2004	0	719986	2026-03-09_23:50:47	46090.993599537	1211171	1529954	3945	5105	1	20	20	1100.53214401034	1236.91309314761	62.8092349897688	71.449282711585	1682.21465417383	2124.9774301167	5.47927320809016	7.09041564697091	1.52926069757472	1.71898204484197	0.0872368776455207	0.0992372399433114
